postcode_2016,Outer Regional Australia,Remote Australia,Very Remote Australia,Major Cities of Australia,Inner Regional Australia,ra_code,ra,ra_digit2,irsad_score_weighted,irsd_score_weighted,economic_score_weighted,education_score_weighted,irsad_decile_weighted,irsd_decile_weighted,economic_decile_weighted,education_decile_weighted,irsd_score_average,irsad_score_average,economic_score_average,education_score_average,irsd_decile_average,irsad_decile_average,economic_decile_average,education_decile_average
3934,0,0,0,99.99,0,20,Major Cities of Australia,0,1076.4389970850386,1086.9875213036107,1089.4935768041903,1076.4389970850386,8.022238094305713,8.550065633405042,8.331210854242249,8.022238094305713,1088.2826086956522,1076.6304347826087,1093.3260869565217,1067.7608695652175,8.680851063829786,8.085106382978724,8.51063829787234,7.808510638297872
3936,0,0,0,99.93,0.06,20,Major Cities of Australia,0,991.0060850272638,1014.453795980432,1006.6412843449696,991.0060850272638,5.044282527837731,5.558324555261429,5.530699042763976,5.044282527837731,1013.8214285714286,993.5714285714286,1010.5714285714286,995,5.448275862068965,5.103448275862069,5.586206896551724,5.275862068965517
3937,0,0,0,0.08,99.92,21,Inner Regional Australia,1,1074.4038206878938,1064.751344190509,1096.8327439104403,1074.4038206878938,8.208611864554792,7.810457288149984,8.697677627370016,8.208611864554792,1084.4285714285713,1089.142857142857,1102.4285714285713,1108.857142857143,8.714285714285714,8.571428571428571,9,8.857142857142858
3938,0,0,0,100,0,20,Major Cities of Australia,0,1008.0409674300062,1036.952189970851,1025.364835601466,1008.0409674300062,5.6951709250169955,6.437302224628495,6.240190001907415,5.6951709250169955,1034.5555555555557,1007.1111111111111,1020.4444444444445,1012,6.1,5.4,5.9,5.6
3939,0,0,0,33.01,66.94,21,Inner Regional Australia,1,942.4156495352772,969.085360096238,979.4300502967561,942.4156495352772,3.6711414652440326,4.335122435403379,4.782761024003745,3.6711414652440326,978.4666666666667,950.4222222222222,987.3777777777777,953.8888888888889,4.456521739130435,3.8043478260869565,5.021739130434782,3.9782608695652173
3940,0,0,0,99.84,0,20,Major Cities of Australia,0,889.9454912759016,916.8181313391752,924.2235342508023,889.9454912759016,1.8604329802766348,2.2608705345033,2.6744237452618154,1.8604329802766348,929,904.3571428571429,937.5714285714286,916.1428571428571,2.6666666666666665,2.3333333333333335,3.1333333333333333,2.6666666666666665
3941,0,0,0,99.75,0.01,20,Major Cities of Australia,0,968.3985192059746,993.6479653678773,998.1196566291209,968.3985192059746,4.216233565276744,4.659633656337135,5.161061416031843,4.216233565276744,995.7222222222222,971.3055555555555,997.9166666666666,985.2222222222222,4.777777777777778,4.305555555555555,5.138888888888889,4.972222222222222
3942,0,0,0,99.87,0,20,Major Cities of Australia,0,1030.5059318053854,1051.925409731712,1021.6760104919007,1030.5059318053854,6.301002342625648,7.148213423894963,6.148182691097195,6.301002342625648,1059.5714285714287,1042,1026.2857142857142,1080,7.571428571428571,6.714285714285714,6.285714285714286,8
3943,0,0,0,99.52,0,20,Major Cities of Australia,0,1058.5228262453106,1059.6652021646887,1030.5687501150876,1058.5228262453106,7.489712345071056,7.513656228786364,6.503703885127082,7.489712345071056,1071.8333333333333,1075.3333333333333,1044.8333333333333,1103.3333333333333,7.714285714285714,7.571428571428571,6.857142857142857,8.285714285714286
3944,0,0,0,99.57,0,20,Major Cities of Australia,0,1129.2931758017328,1113.4905710038906,1074.2487563466073,1129.2931758017328,9.516421311027798,9.997649972078461,8.002350027921537,9.516421311027798,1109.6666666666667,1120.6666666666667,1079.3333333333333,1143,8.75,8.25,7.75,8.75
3945,0,0,0,0,100,21,Inner Regional Australia,1,1003.0075125074242,1026.21429573963,1051.5982384215642,1003.0075125074242,5.276130807919443,6.019072289603998,7.224310856995037,5.276130807919443,1022.375,1000.5,1056.375,994.625,5.75,5.125,7.5,5.125
3946,0,0,0,0,100,21,Inner Regional Australia,1,1007,1028.349415504948,1052.2529224752604,1007,5,6,7.530116899010418,5,1028.5,1007,1051.5,1019.5,6,5,7.5,6
3950,0,0,0,0,100,21,Inner Regional Australia,1,923.0285239709036,947.4781577086796,964.5548257491267,923.0285239709036,3.082049070919173,3.3847307433022937,4.178403408069045,3.082049070919173,981.875,957.8125,1003.25,961.8125,4.5,4,5.625,4.25
3951,0,0,0,0,100,21,Inner Regional Australia,1,1012.9556358532573,1033.4490110880201,1053.3901483863133,1012.9556358532573,5.743550015811061,6.2589459521073465,7.571643819775571,5.743550015811061,1031.5555555555557,1009.4444444444445,1057.111111111111,1022.3333333333334,6.111111111111111,5.444444444444445,7.666666666666667,6.333333333333333
3953,0,0,0,0,100,21,Inner Regional Australia,1,968.957750660793,996.1722099461308,1004.1442191963381,968.957750660793,4.296869311104306,4.849664744594096,5.598614553629025,4.296869311104306,1004.2,980.08,1014.24,984.52,5.24,4.68,5.92,5.16
3954,0,0,0,0,100,21,Inner Regional Australia,1,1039.00165095163,1068.0036320935858,1083.0056132355414,1039.00165095163,7,8,8.000330190325977,7,1073.5,1041.5,1091.5,1020,8,7,8.5,6.5
3956,24.86,0,0,0,75.12,21,Inner Regional Australia,1,967.2592013471502,991.4846583617352,994.3813765499265,967.2592013471502,4.18644987906386,4.568648082755347,4.979966629129153,4.18644987906386,1009,988.4545454545455,1014,1011.9090909090909,5.2727272727272725,4.909090909090909,5.7272727272727275,6.090909090909091
3957,0,0,0,0,100,21,Inner Regional Australia,1,1010.0005190159649,1030.0003811119595,1051.0002031941226,1010.0005190159649,5.999999164101115,6.000032490741489,7.000032072792046,5.999999164101115,1019,1004,1029.3333333333333,1040,5.666666666666667,5.333333333333333,6.333333333333333,7.333333333333333
3958,0,0,0,0,100,21,Inner Regional Australia,1,1033.9951937919807,1053.9944468053213,1074.986230496753,1033.9951937919807,6.999671801675359,6.999754781280416,7.999505808422486,6.999671801675359,1042,1023,1048,1042.75,6.5,6.25,7,7.25
3959,30.25,0,0,0,69.74,21,Inner Regional Australia,1,1013.624245976842,1029.1898104408594,1023.6718181682511,1013.624245976842,5.819724371711885,5.819724371711885,6.095082012084875,5.819724371711885,1029.5714285714287,1015.5714285714286,1031.2857142857142,1044.857142857143,6,6,6.285714285714286,7.142857142857143
3960,68.74,0,0,0,31.18,22,Outer Regional Australia,2,964.2490698150403,983.2661547855033,978.3806006833339,964.2490698150403,4.006985789521797,4.496480571648449,4.698504425090483,4.006985789521797,997.4666666666667,979.5333333333333,1003.6666666666666,1004,4.933333333333334,4.533333333333333,5.533333333333333,5.733333333333333
3962,0.02,0,0,0,99.95,21,Inner Regional Australia,1,921.4003661037561,946.6416960585685,976.3856890146552,921.4003661037561,2.666853116207602,3.4610551054440077,4.270428496263654,2.666853116207602,977.875,963.375,1004.375,990,4.125,3.75,5.375,5.25
3964,0,0,0,0,99.92,21,Inner Regional Australia,1,963.0002796894121,1001.0001430969086,1028.0000585396444,963.0002796894121,4.000006504404935,5.000006504404935,6.000006504404935,4.000006504404935,1012,984.5,1032.5,978,5.5,4.5,6.5,4.5
3965,99.81,0,0,0,0,22,Outer Regional Australia,2,901.2367234828753,933.3606183144634,958.3296446065664,901.2367234828753,2.1615043820171636,2.1615043820171636,3.323008764034327,2.1615043820171636,942.5,918.5,969.5,901.5,2.5,2.5,4,2.5
3966,52.37,0,0,0,47.59,22,Outer Regional Australia,2,947.8881274607363,957.7673206694201,993.0045212416303,947.8881274607363,3.0966682214688412,3.0975659649188563,5.215617916534728,3.0966682214688412,972,958.25,1012.75,974.5,3.75,3.5,5.75,4.5
3967,38.95,0.62,0,0,60.32,21,Inner Regional Australia,1,958.4496265169,968.4427111637884,1000.8510442713292,958.4496265169,3.4013780125671507,3.4013780125671507,5.401379819015424,3.4013780125671507,965,959.3333333333334,1009,990.6666666666666,3.25,3,5.25,4.75
3971,8.5,10.99,0,0,80.42,21,Inner Regional Australia,1,916.9752512019869,934.2084297804394,958.8527139665351,916.9752512019869,2.8214289670041715,3.079954148741217,3.9752272802280575,2.8214289670041715,948.5333333333333,934.2666666666667,977.8666666666667,946.0666666666667,3.375,3.125,4.625,3.6875
3975,0,0,0,100,0,20,Major Cities of Australia,0,1037.66055560935,1038.7535418056298,1086.1588071039137,1037.66055560935,6.658768667854891,6.56584694700878,8.353336053212113,6.658768667854891,1025.75,1023.8611111111111,1072.8333333333333,985.4166666666666,5.947368421052632,6.026315789473684,7.815789473684211,5.026315789473684
3976,0,0,0,100,0,20,Major Cities of Australia,0,919.1767462557211,926.6963323580541,970.2584068777946,919.1767462557211,2.6055343960843285,2.5342332136614694,4.11848524817471,2.6055343960843285,944.1818181818181,936.7121212121212,989.8030303030303,902.9242424242424,3.101449275362319,3.1739130434782608,4.898550724637682,2.4347826086956523
3977,0,0,0,78.19,21.8,20,Major Cities of Australia,0,986.756588824445,1004.7427275139171,1036.2381011564335,986.756588824445,4.914204157298553,5.267007202489941,6.528600248350367,4.914204157298553,1000.0363636363636,981.1636363636363,1032.0995475113123,945.7772727272727,5.125541125541125,4.7186147186147185,6.406926406926407,3.7662337662337664
3978,0,0,0,71.75,28.25,20,Major Cities of Australia,0,1049.6398547205572,1058.4984684325439,1077.0723050622764,1049.6398547205572,7.034253808951879,7.267237972078937,8.072748747813407,7.034253808951879,1050.4285714285713,1036.7619047619048,1074.7142857142858,1006.2857142857143,6.857142857142857,6.571428571428571,8,5.714285714285714
3979,0,0,0,0,100,21,Inner Regional Australia,1,1026.8569695527806,1043.038576473892,1078.5390992166765,1026.8569695527806,6.472023481814348,6.473736919744878,8.52383385724045,6.472023481814348,1038,1010.25,1068,1003.75,6.5,5.75,7.75,5.5
